Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Sensation_seeking,Caffeine,Cannabis,Meth
35-44,1,Left school at 17,43.0,45.0,52.0,35.0,34.0,0.19268,1.2247,6,5,0
25-34,0,University degree,44.0,44.0,39.0,38.0,44.0,-0.21712,-0.21575,5,0,0
18-24,0,Left school at 16,48.0,36.0,41.0,38.0,34.0,1.29221,-0.21575,6,4,0
35-44,0,Professional certificate/ diploma,51.0,41.0,43.0,47.0,36.0,-0.71126,-0.21575,6,0,0
45-54,0,College or university dropout,27.0,37.0,52.0,59.0,42.0,-1.37983,-1.18084,6,2,2
25-34,0,Masters degree,20.0,35.0,39.0,40.0,54.0,-1.37983,-0.8463700000000001,6,0,0
18-24,1,University degree,48.0,37.0,47.0,44.0,28.0,0.52975,-1.18084,6,0,0
25-34,0,Masters degree,25.0,47.0,47.0,39.0,41.0,-0.21712,-0.8463700000000001,5,2,0
18-24,0,University degree,34.0,37.0,36.0,48.0,50.0,-1.37983,-0.52593,6,3,0
35-44,0,Masters degree,28.0,48.0,47.0,36.0,49.0,-0.21712,1.2247,6,4,0
18-24,0,Masters degree,52.0,29.0,45.0,48.0,44.0,-0.21712,-1.18084,6,0,0
25-34,0,Masters degree,46.0,26.0,43.0,43.0,45.0,-0.71126,-2.07848,6,2,0
25-34,0,Doctorate degree,42.0,43.0,43.0,43.0,50.0,0.52975,0.07987000000000001,6,0,0
45-54,0,Masters degree,38.0,33.0,38.0,43.0,48.0,-0.71126,-1.18084,6,0,0
18-24,0,University degree,34.0,38.0,48.0,42.0,44.0,-1.37983,-0.52593,6,2,0
25-34,0,University degree,21.0,46.0,45.0,52.0,50.0,-0.71126,-0.21575,5,0,0
18-24,0,University degree,31.0,39.0,42.0,49.0,41.0,1.29221,1.2247,6,2,0
45-54,0,University degree,28.0,40.0,49.0,45.0,49.0,0.19268,-0.52593,6,1,0
18-24,0,University degree,46.0,41.0,41.0,45.0,45.0,-0.71126,-0.52593,6,0,0
35-44,0,University degree,42.0,44.0,49.0,36.0,47.0,-0.21712,-0.21575,6,2,0
35-44,0,Masters degree,58.0,43.0,35.0,41.0,51.0,-0.21712,-0.8463700000000001,6,2,0
25-34,0,Masters degree,44.0,42.0,42.0,31.0,40.0,0.19268,0.07987000000000001,6,2,0
45-54,0,College or university dropout,31.0,37.0,46.0,44.0,39.0,1.86203,-0.8463700000000001,6,3,0
45-54,0,Masters degree,39.0,34.0,47.0,47.0,36.0,-0.71126,-0.8463700000000001,5,0,0
18-24,0,University degree,45.0,47.0,39.0,49.0,46.0,-1.37983,-1.18084,5,4,0
18-24,1,University degree,53.0,44.0,54.0,37.0,38.0,-0.21712,0.07987000000000001,6,3,0
35-44,1,Masters degree,46.0,34.0,45.0,41.0,42.0,-0.21712,-0.21575,1,1,0
35-44,0,Doctorate degree,32.0,45.0,45.0,37.0,56.0,-0.71126,-0.52593,6,1,0
35-44,0,Professional certificate/ diploma,38.0,47.0,38.0,31.0,39.0,0.52975,0.7654,6,0,0
18-24,0,Masters degree,21.0,52.0,45.0,50.0,53.0,0.19268,0.7654,6,0,0
35-44,1,Professional certificate/ diploma,48.0,31.0,34.0,36.0,37.0,1.86203,0.07987000000000001,6,3,0
55-64,0,College or university dropout,27.0,46.0,49.0,39.0,39.0,0.52975,-0.21575,6,4,0
35-44,0,University degree,55.0,29.0,33.0,47.0,28.0,-0.71126,-1.5485799999999998,5,2,0
35-44,1,Left school at 16,20.0,45.0,35.0,40.0,49.0,-0.21712,0.07987000000000001,3,0,0
25-34,0,Masters degree,44.0,42.0,47.0,47.0,48.0,-0.71126,-0.52593,3,0,0
25-34,0,University degree,46.0,45.0,41.0,51.0,41.0,-0.71126,-0.21575,6,2,0
45-54,0,Masters degree,46.0,39.0,48.0,50.0,51.0,-1.37983,-1.5485799999999998,4,1,0
18-24,0,Masters degree,34.0,45.0,50.0,44.0,47.0,-0.21712,-0.21575,6,2,0
35-44,0,College or university dropout,25.0,40.0,38.0,43.0,27.0,1.86203,-0.21575,6,2,0
18-24,1,College or university dropout,27.0,50.0,49.0,41.0,37.0,0.88113,0.7654,6,5,0
35-44,0,Professional certificate/ diploma,39.0,48.0,56.0,41.0,48.0,0.52975,0.07987000000000001,6,0,0
18-24,0,College or university dropout,42.0,40.0,42.0,46.0,39.0,-0.21712,1.2247,6,4,0
25-34,1,University degree,33.0,41.0,44.0,35.0,47.0,1.29221,0.40148,3,1,0
18-24,1,Professional certificate/ diploma,43.0,36.0,54.0,36.0,40.0,0.52975,0.40148,6,4,0
18-24,1,College or university dropout,39.0,42.0,44.0,48.0,28.0,0.19268,0.7654,6,6,0
25-34,0,Left school at 16,31.0,50.0,49.0,49.0,43.0,-0.21712,0.07987000000000001,6,6,0
55-64,0,College or university dropout,24.0,39.0,48.0,37.0,45.0,0.52975,0.07987000000000001,6,6,0
35-44,1,Left school before 16,30.0,40.0,42.0,39.0,46.0,-0.21712,0.40148,6,6,1
35-44,0,University degree,40.0,37.0,44.0,32.0,52.0,-0.21712,-0.8463700000000001,6,1,0
35-44,0,Professional certificate/ diploma,14.0,46.0,47.0,46.0,54.0,-0.71126,-0.21575,6,6,0
25-34,1,Professional certificate/ diploma,35.0,46.0,46.0,47.0,46.0,0.19268,0.7654,6,5,0
35-44,1,Left school at 16,32.0,36.0,42.0,35.0,37.0,1.29221,0.7654,6,5,0
45-54,1,Professional certificate/ diploma,39.0,41.0,43.0,34.0,45.0,-0.21712,0.7654,6,1,0
18-24,1,Left school at 16,23.0,45.0,51.0,49.0,48.0,0.52975,1.2247,5,5,0
55-64,0,Professional certificate/ diploma,32.0,37.0,44.0,38.0,46.0,0.88113,1.2247,6,4,3
45-54,0,Professional certificate/ diploma,36.0,41.0,42.0,46.0,44.0,-0.21712,-0.52593,6,6,0
18-24,1,College or university dropout,41.0,39.0,48.0,43.0,35.0,0.52975,0.40148,5,6,0
45-54,0,Masters degree,43.0,36.0,42.0,54.0,43.0,-0.71126,-1.18084,6,1,0
18-24,1,College or university dropout,46.0,47.0,51.0,44.0,34.0,1.86203,1.2247,6,6,0
18-24,1,College or university dropout,41.0,28.0,38.0,29.0,46.0,0.52975,1.2247,6,6,0
18-24,1,College or university dropout,54.0,33.0,51.0,39.0,34.0,0.52975,0.7654,6,6,3
25-34,1,University degree,29.0,34.0,43.0,33.0,43.0,-0.71126,-0.21575,6,5,0
35-44,0,College or university dropout,40.0,42.0,48.0,49.0,45.0,-0.71126,-0.52593,6,5,2
55-64,0,Masters degree,15.0,47.0,57.0,51.0,34.0,-0.71126,-0.52593,6,6,0
18-24,1,University degree,31.0,40.0,38.0,52.0,36.0,-0.21712,1.2247,6,4,0
45-54,1,College or university dropout,35.0,40.0,52.0,55.0,41.0,-0.71126,0.07987000000000001,6,3,0
25-34,1,University degree,21.0,48.0,54.0,44.0,49.0,0.52975,1.92173,6,6,0
55-64,0,Professional certificate/ diploma,48.0,34.0,36.0,50.0,30.0,1.86203,-0.21575,5,5,0
25-34,1,College or university dropout,27.0,46.0,52.0,44.0,37.0,0.19268,1.92173,6,6,0
25-34,1,University degree,29.0,42.0,42.0,51.0,46.0,0.52975,1.2247,6,5,0
35-44,1,University degree,25.0,41.0,45.0,41.0,39.0,-0.21712,-0.52593,6,6,0
25-34,0,Masters degree,54.0,38.0,44.0,32.0,37.0,0.19268,0.07987000000000001,5,6,0
25-34,0,Left school before 16,33.0,44.0,41.0,37.0,44.0,1.29221,-0.21575,6,3,3
35-44,0,Masters degree,37.0,39.0,43.0,48.0,40.0,0.88113,1.2247,6,2,0
45-54,0,College or university dropout,46.0,41.0,45.0,39.0,34.0,1.29221,1.2247,6,6,2
45-54,1,Professional certificate/ diploma,27.0,48.0,44.0,39.0,47.0,-0.71126,0.07987000000000001,6,6,0
25-34,0,University degree,35.0,47.0,52.0,44.0,42.0,0.52975,0.07987000000000001,6,3,0
55-64,1,Masters degree,29.0,33.0,51.0,37.0,46.0,-1.37983,-0.8463700000000001,6,0,0
18-24,1,Left school at 18,41.0,30.0,43.0,52.0,28.0,1.29221,0.40148,6,5,0
35-44,1,Masters degree,27.0,44.0,45.0,34.0,44.0,0.88113,0.40148,6,2,0
35-44,0,Masters degree,34.0,43.0,44.0,45.0,52.0,-0.71126,-1.5485799999999998,6,1,0
45-54,0,Masters degree,32.0,40.0,43.0,41.0,31.0,1.86203,-0.52593,6,1,0
35-44,0,Doctorate degree,36.0,40.0,37.0,43.0,44.0,-1.37983,-0.21575,6,1,0
35-44,0,Professional certificate/ diploma,32.0,36.0,42.0,37.0,44.0,-0.71126,-1.5485799999999998,6,2,0
35-44,1,University degree,35.0,37.0,40.0,40.0,45.0,-0.21712,-0.21575,6,2,0
35-44,1,Doctorate degree,21.0,33.0,35.0,54.0,46.0,-2.55524,-0.8463700000000001,5,5,0
25-34,0,Doctorate degree,48.0,32.0,37.0,53.0,44.0,-1.37983,-1.5485799999999998,6,3,0
45-54,0,Doctorate degree,31.0,43.0,50.0,45.0,41.0,-0.21712,-2.07848,6,0,0
35-44,0,Doctorate degree,41.0,38.0,56.0,45.0,49.0,-1.37983,-2.07848,6,2,0
18-24,0,University degree,40.0,39.0,44.0,56.0,49.0,-1.37983,-0.52593,6,0,0
18-24,0,University degree,48.0,37.0,37.0,37.0,47.0,-1.37983,-2.07848,4,2,0
25-34,0,Masters degree,29.0,51.0,49.0,44.0,44.0,-0.71126,0.07987000000000001,6,3,0
35-44,0,Doctorate degree,48.0,41.0,46.0,36.0,37.0,-0.21712,1.2247,6,5,1
35-44,1,University degree,28.0,38.0,45.0,50.0,38.0,-0.71126,0.07987000000000001,6,3,0
45-54,0,University degree,29.0,42.0,43.0,46.0,42.0,0.19268,-0.21575,6,1,0
35-44,0,Professional certificate/ diploma,32.0,41.0,39.0,48.0,45.0,-1.37983,-1.18084,6,0,0
18-24,0,University degree,33.0,36.0,36.0,42.0,52.0,-0.71126,0.07987000000000001,6,0,0
25-34,1,Left school at 16,33.0,51.0,52.0,51.0,45.0,0.52975,1.92173,6,6,0
45-54,1,University degree,34.0,35.0,49.0,44.0,41.0,-0.21712,-0.52593,6,1,0
35-44,1,Masters degree,29.0,46.0,52.0,56.0,53.0,-0.21712,0.40148,4,1,0
25-34,0,Masters degree,26.0,44.0,44.0,51.0,50.0,-0.71126,0.40148,4,4,0
25-34,1,College or university dropout,38.0,38.0,34.0,47.0,37.0,-0.21712,0.07987000000000001,5,4,0
45-54,1,University degree,36.0,38.0,44.0,38.0,39.0,1.29221,-0.52593,4,1,0
18-24,0,University degree,31.0,39.0,44.0,42.0,47.0,-0.21712,-0.52593,6,0,0
18-24,1,College or university dropout,23.0,49.0,53.0,32.0,48.0,-0.71126,0.40148,6,5,3
35-44,0,Masters degree,47.0,41.0,53.0,55.0,34.0,1.29221,1.92173,4,6,0
25-34,0,University degree,34.0,45.0,37.0,43.0,54.0,0.19268,-1.18084,2,2,0
45-54,0,Masters degree,31.0,53.0,59.0,53.0,43.0,1.29221,0.40148,6,5,1
25-34,1,Masters degree,42.0,43.0,49.0,47.0,34.0,0.19268,-1.18084,6,2,0
18-24,1,College or university dropout,46.0,48.0,54.0,39.0,34.0,0.19268,0.40148,6,6,3
18-24,1,College or university dropout,29.0,44.0,46.0,44.0,42.0,1.29221,0.40148,4,3,0
35-44,0,Left school at 16,32.0,46.0,41.0,46.0,49.0,-0.71126,-0.8463700000000001,6,1,3
25-34,1,Masters degree,31.0,51.0,43.0,42.0,34.0,0.52975,0.7654,6,4,0
45-54,1,College or university dropout,48.0,36.0,48.0,35.0,33.0,1.29221,0.40148,6,6,0
45-54,1,Professional certificate/ diploma,47.0,30.0,55.0,40.0,31.0,1.86203,1.92173,6,4,1
18-24,1,Masters degree,42.0,41.0,49.0,41.0,38.0,0.88113,0.07987000000000001,6,3,0
25-34,1,Doctorate degree,28.0,49.0,57.0,37.0,39.0,1.29221,0.40148,6,6,2
25-34,0,Masters degree,24.0,43.0,46.0,50.0,43.0,-1.37983,-1.5485799999999998,6,0,0
18-24,0,University degree,33.0,32.0,41.0,42.0,51.0,-1.37983,-0.8463700000000001,6,2,0
25-34,0,University degree,36.0,41.0,48.0,55.0,53.0,0.52975,-1.18084,6,2,0
25-34,0,Doctorate degree,48.0,31.0,44.0,34.0,31.0,-0.21712,-0.52593,6,3,0
18-24,1,University degree,32.0,37.0,50.0,45.0,38.0,0.52975,0.7654,6,3,0
25-34,0,Doctorate degree,47.0,37.0,47.0,45.0,40.0,-0.71126,-0.21575,5,2,0
18-24,1,Left school at 18,19.0,38.0,47.0,42.0,35.0,0.88113,0.40148,6,6,0
35-44,1,College or university dropout,45.0,35.0,54.0,41.0,44.0,-0.21712,0.07987000000000001,4,5,6
45-54,1,University degree,21.0,53.0,47.0,45.0,39.0,0.19268,-0.21575,6,2,0
25-34,1,College or university dropout,30.0,46.0,49.0,41.0,41.0,0.19268,0.7654,6,6,0
18-24,1,Professional certificate/ diploma,32.0,41.0,43.0,38.0,39.0,-2.55524,-0.52593,6,5,0
35-44,1,Professional certificate/ diploma,31.0,45.0,46.0,39.0,43.0,0.88113,1.2247,6,6,0
18-24,1,University degree,33.0,40.0,55.0,48.0,48.0,0.52975,-0.21575,6,6,0
18-24,0,College or university dropout,48.0,47.0,49.0,47.0,48.0,-0.71126,0.07987000000000001,6,2,0
18-24,0,Masters degree,44.0,35.0,42.0,39.0,34.0,-0.71126,0.7654,6,0,0
35-44,1,Professional certificate/ diploma,35.0,38.0,41.0,38.0,36.0,0.19268,1.2247,6,6,0
18-24,1,Professional certificate/ diploma,38.0,40.0,34.0,42.0,44.0,0.88113,0.7654,6,6,0
25-34,1,University degree,41.0,38.0,49.0,39.0,37.0,-0.21712,-0.21575,4,3,0
18-24,1,College or university dropout,56.0,24.0,44.0,43.0,26.0,-1.37983,-1.5485799999999998,3,0,0
18-24,0,College or university dropout,42.0,38.0,42.0,35.0,51.0,-0.71126,1.2247,6,3,3
45-54,1,Doctorate degree,38.0,34.0,45.0,43.0,26.0,-0.71126,-2.07848,6,1,2
35-44,1,College or university dropout,24.0,40.0,37.0,39.0,43.0,0.88113,0.7654,6,3,0
25-34,1,Masters degree,49.0,27.0,49.0,45.0,46.0,-1.37983,-0.8463700000000001,6,1,0
35-44,0,University degree,41.0,39.0,43.0,42.0,37.0,-1.37983,-0.52593,3,3,0
35-44,0,Professional certificate/ diploma,45.0,35.0,54.0,35.0,30.0,1.29221,1.92173,6,4,6
25-34,1,University degree,32.0,41.0,51.0,40.0,36.0,0.88113,0.40148,6,6,0
18-24,0,College or university dropout,51.0,46.0,55.0,41.0,35.0,0.88113,1.2247,6,2,0
45-54,0,Left school before 16,27.0,44.0,39.0,49.0,44.0,-1.37983,-2.07848,5,5,0
35-44,1,College or university dropout,46.0,47.0,44.0,35.0,46.0,0.88113,1.2247,6,6,0
55-64,0,Masters degree,44.0,35.0,43.0,43.0,41.0,1.86203,0.40148,6,1,0
55-64,1,College or university dropout,40.0,35.0,36.0,33.0,41.0,0.52975,-0.52593,6,0,1
25-34,0,University degree,34.0,39.0,39.0,44.0,45.0,-0.71126,-0.52593,5,0,0
45-54,0,Masters degree,38.0,35.0,44.0,41.0,38.0,-0.71126,-0.8463700000000001,6,1,0
35-44,1,Masters degree,25.0,38.0,47.0,46.0,46.0,-1.37983,-0.8463700000000001,6,2,0
35-44,1,Professional certificate/ diploma,27.0,36.0,43.0,39.0,40.0,0.19268,-0.21575,6,6,0
35-44,0,Masters degree,34.0,37.0,46.0,51.0,53.0,-0.71126,-1.18084,5,0,0
55-64,1,University degree,28.0,42.0,49.0,33.0,51.0,-0.21712,0.07987000000000001,6,6,0
45-54,0,University degree,21.0,38.0,53.0,53.0,42.0,-0.71126,0.07987000000000001,6,6,0
35-44,1,University degree,35.0,33.0,52.0,43.0,37.0,-0.21712,-0.52593,6,5,0
55-64,1,College or university dropout,34.0,32.0,41.0,45.0,34.0,-0.21712,0.40148,6,6,0
35-44,0,College or university dropout,45.0,41.0,49.0,37.0,43.0,1.29221,1.2247,6,6,0
45-54,1,Left school before 16,26.0,47.0,49.0,48.0,49.0,-0.71126,0.40148,6,6,2
35-44,0,University degree,32.0,44.0,50.0,41.0,42.0,0.88113,0.7654,4,3,0
55-64,1,University degree,23.0,45.0,45.0,37.0,41.0,-0.71126,0.07987000000000001,6,1,0
35-44,1,College or university dropout,28.0,38.0,42.0,39.0,44.0,-0.71126,-0.52593,1,6,1
18-24,1,College or university dropout,23.0,42.0,53.0,55.0,43.0,-0.71126,-0.21575,4,6,0
18-24,0,University degree,34.0,33.0,36.0,40.0,44.0,0.52975,-0.8463700000000001,4,2,0
25-34,1,University degree,35.0,52.0,48.0,42.0,38.0,0.52975,0.40148,6,5,0
18-24,1,College or university dropout,40.0,36.0,43.0,48.0,49.0,-1.37983,-0.52593,6,3,0
18-24,1,Professional certificate/ diploma,27.0,38.0,41.0,47.0,45.0,-0.71126,-1.5485799999999998,6,4,0
18-24,1,University degree,45.0,41.0,50.0,39.0,32.0,0.19268,1.2247,3,6,0
18-24,1,College or university dropout,30.0,39.0,40.0,50.0,45.0,-1.37983,-0.8463700000000001,3,6,0
25-34,0,Masters degree,41.0,42.0,51.0,44.0,49.0,-0.21712,-0.52593,5,3,0
18-24,1,University degree,41.0,45.0,52.0,54.0,42.0,0.88113,0.7654,6,6,0
18-24,1,Professional certificate/ diploma,43.0,47.0,49.0,36.0,40.0,0.88113,1.92173,6,5,0
18-24,0,College or university dropout,42.0,43.0,53.0,54.0,44.0,-0.21712,0.40148,6,6,3
18-24,1,College or university dropout,35.0,29.0,37.0,39.0,28.0,1.29221,-0.8463700000000001,6,6,0
35-44,1,University degree,28.0,34.0,44.0,44.0,44.0,-0.71126,-0.8463700000000001,4,6,0
18-24,1,Left school at 16,35.0,31.0,41.0,39.0,40.0,1.86203,1.2247,5,6,0
55-64,1,University degree,32.0,33.0,41.0,40.0,39.0,0.52975,0.40148,6,2,0
35-44,1,College or university dropout,48.0,45.0,52.0,42.0,49.0,0.88113,0.7654,6,6,0
35-44,0,Professional certificate/ diploma,51.0,35.0,48.0,48.0,43.0,-0.71126,-0.8463700000000001,6,6,0
55-64,1,Professional certificate/ diploma,35.0,38.0,46.0,39.0,39.0,-1.37983,-1.18084,6,6,0
25-34,0,University degree,27.0,49.0,48.0,49.0,46.0,0.19268,-0.52593,5,2,0
35-44,0,College or university dropout,47.0,36.0,51.0,48.0,39.0,0.19268,-0.21575,6,6,0
25-34,0,Masters degree,39.0,44.0,51.0,53.0,44.0,-0.21712,1.92173,6,5,0
18-24,1,Professional certificate/ diploma,56.0,33.0,51.0,35.0,38.0,-0.71126,-0.52593,6,4,0
25-34,0,Masters degree,39.0,44.0,42.0,44.0,41.0,0.19268,-0.21575,5,0,0
18-24,1,College or university dropout,23.0,41.0,51.0,41.0,30.0,0.19268,0.07987000000000001,3,3,0
25-34,0,Left school at 16,30.0,42.0,47.0,39.0,43.0,1.29221,0.7654,6,6,2
35-44,0,University degree,43.0,40.0,39.0,43.0,42.0,-0.21712,-1.18084,6,1,0
18-24,1,College or university dropout,28.0,48.0,44.0,42.0,38.0,0.19268,0.40148,4,5,0
18-24,0,University degree,48.0,44.0,51.0,42.0,42.0,-0.71126,-0.21575,6,5,0
35-44,1,Left school at 16,42.0,41.0,48.0,41.0,40.0,-0.21712,-0.52593,6,6,0
18-24,1,College or university dropout,43.0,47.0,55.0,33.0,28.0,0.88113,0.7654,5,6,0
25-34,0,University degree,38.0,53.0,59.0,53.0,37.0,1.29221,1.2247,6,5,3
25-34,1,University degree,31.0,27.0,26.0,33.0,33.0,-1.37983,0.07987000000000001,6,3,0
25-34,1,University degree,26.0,51.0,46.0,44.0,55.0,0.52975,1.2247,6,2,0
18-24,0,Left school at 18,48.0,41.0,55.0,51.0,46.0,-0.71126,0.40148,6,6,3
25-34,1,Masters degree,35.0,30.0,49.0,40.0,38.0,0.19268,0.7654,6,6,0
35-44,1,College or university dropout,24.0,41.0,50.0,51.0,37.0,0.88113,0.07987000000000001,6,6,0
45-54,0,Masters degree,44.0,38.0,48.0,48.0,52.0,0.52975,0.40148,6,1,0
35-44,0,University degree,42.0,41.0,41.0,37.0,35.0,-1.37983,-1.18084,5,1,0
25-34,1,Left school at 16,32.0,40.0,42.0,37.0,47.0,0.52975,0.40148,0,6,6
45-54,1,College or university dropout,27.0,41.0,46.0,47.0,30.0,1.29221,-0.21575,6,0,0
25-34,0,Left school at 16,43.0,42.0,38.0,46.0,39.0,-0.71126,-0.21575,6,0,0
25-34,0,Masters degree,35.0,43.0,49.0,45.0,45.0,-0.71126,-0.21575,6,6,0
35-44,0,Left school at 16,40.0,36.0,36.0,43.0,28.0,0.19268,-0.21575,6,6,0
35-44,0,Doctorate degree,21.0,46.0,39.0,53.0,54.0,-0.21712,-0.52593,6,0,0
35-44,1,Masters degree,34.0,40.0,46.0,50.0,41.0,-0.21712,0.40148,6,2,0
25-34,0,Professional certificate/ diploma,17.0,49.0,33.0,50.0,50.0,-0.21712,-0.8463700000000001,6,3,0
25-34,1,College or university dropout,51.0,38.0,53.0,52.0,28.0,1.86203,0.07987000000000001,3,5,0
25-34,0,Masters degree,40.0,47.0,42.0,51.0,45.0,0.19268,0.40148,6,2,0
25-34,1,Doctorate degree,27.0,43.0,55.0,50.0,38.0,0.19268,0.07987000000000001,6,5,0
18-24,1,College or university dropout,23.0,50.0,56.0,48.0,56.0,-0.71126,-1.18084,6,2,3
18-24,0,Masters degree,42.0,42.0,42.0,44.0,47.0,-0.21712,-0.21575,5,2,0
18-24,0,College or university dropout,56.0,37.0,45.0,48.0,25.0,1.29221,0.40148,5,6,0
18-24,1,College or university dropout,40.0,44.0,46.0,42.0,40.0,0.52975,1.2247,6,6,3
18-24,1,Doctorate degree,14.0,51.0,50.0,50.0,44.0,-0.71126,0.40148,6,3,6
25-34,1,University degree,36.0,33.0,40.0,40.0,37.0,0.19268,1.2247,6,3,3
18-24,1,College or university dropout,52.0,42.0,38.0,40.0,23.0,2.90161,-0.21575,6,6,0
25-34,0,University degree,24.0,45.0,55.0,50.0,43.0,-0.21712,0.40148,5,6,0
18-24,0,University degree,47.0,45.0,50.0,49.0,30.0,0.88113,-0.8463700000000001,5,3,0
18-24,1,Left school at 16,40.0,33.0,53.0,47.0,34.0,0.52975,0.7654,4,5,0
18-24,1,College or university dropout,42.0,41.0,58.0,48.0,42.0,0.19268,1.2247,6,6,2
18-24,1,College or university dropout,46.0,34.0,48.0,56.0,37.0,0.52975,0.07987000000000001,6,1,6
25-34,1,Masters degree,44.0,35.0,47.0,38.0,40.0,-0.71126,0.07987000000000001,6,6,3
18-24,0,Professional certificate/ diploma,32.0,44.0,47.0,41.0,47.0,1.29221,-0.52593,6,6,0
25-34,1,University degree,46.0,41.0,50.0,46.0,47.0,-1.37983,0.7654,6,2,0
18-24,1,College or university dropout,42.0,28.0,37.0,43.0,35.0,1.86203,1.2247,3,3,0
18-24,0,Masters degree,41.0,30.0,33.0,49.0,44.0,0.52975,-0.8463700000000001,6,0,0
45-54,1,University degree,48.0,30.0,43.0,39.0,28.0,0.19268,0.40148,6,6,1
45-54,0,Professional certificate/ diploma,46.0,31.0,44.0,41.0,38.0,-0.21712,-0.21575,4,6,6
18-24,1,Left school at 18,25.0,37.0,50.0,45.0,42.0,-0.71126,-0.21575,6,4,2
18-24,0,College or university dropout,21.0,43.0,52.0,41.0,28.0,0.19268,0.40148,6,6,0
25-34,1,College or university dropout,37.0,37.0,40.0,41.0,42.0,-0.71126,-1.5485799999999998,6,5,6
18-24,1,College or university dropout,41.0,44.0,51.0,39.0,38.0,0.19268,0.07987000000000001,6,6,0
18-24,1,College or university dropout,54.0,40.0,58.0,40.0,37.0,0.88113,0.7654,5,6,0
45-54,1,Left school at 18,18.0,47.0,44.0,47.0,39.0,0.19268,-0.52593,6,6,0
18-24,0,Professional certificate/ diploma,46.0,24.0,45.0,46.0,42.0,-1.37983,-0.8463700000000001,3,3,3
35-44,1,Professional certificate/ diploma,46.0,33.0,40.0,34.0,36.0,0.19268,0.7654,6,5,0
18-24,1,College or university dropout,47.0,31.0,48.0,43.0,33.0,1.86203,1.92173,6,4,3
18-24,0,College or university dropout,44.0,37.0,52.0,46.0,38.0,0.52975,1.2247,3,6,0
18-24,0,College or university dropout,33.0,43.0,52.0,43.0,49.0,-0.21712,1.2247,5,3,0
18-24,1,Masters degree,49.0,34.0,52.0,43.0,44.0,-0.21712,0.7654,5,5,0
18-24,1,Professional certificate/ diploma,30.0,40.0,47.0,41.0,29.0,0.88113,0.7654,4,6,0
35-44,1,Professional certificate/ diploma,44.0,36.0,47.0,38.0,43.0,1.29221,0.07987000000000001,6,2,0
18-24,1,Professional certificate/ diploma,21.0,48.0,42.0,39.0,33.0,1.86203,0.7654,5,0,0
18-24,1,College or university dropout,19.0,41.0,51.0,44.0,47.0,0.19268,1.2247,6,5,0
18-24,1,University degree,34.0,37.0,52.0,39.0,36.0,1.29221,0.7654,6,5,0
18-24,1,College or university dropout,42.0,39.0,50.0,32.0,41.0,1.29221,1.92173,6,3,4
18-24,1,College or university dropout,44.0,44.0,48.0,36.0,31.0,-0.71126,-0.21575,6,5,3
25-34,1,College or university dropout,36.0,53.0,44.0,39.0,42.0,1.29221,0.07987000000000001,6,0,0
25-34,1,University degree,35.0,36.0,54.0,51.0,38.0,0.19268,0.7654,6,6,0
18-24,1,College or university dropout,47.0,36.0,44.0,39.0,49.0,-0.71126,-0.21575,6,6,0
18-24,1,College or university dropout,40.0,33.0,44.0,46.0,41.0,-0.21712,0.7654,5,6,3
18-24,0,University degree,30.0,45.0,49.0,47.0,50.0,-0.71126,0.7654,4,5,0
25-34,0,College or university dropout,37.0,47.0,51.0,41.0,47.0,-0.21712,1.2247,6,4,5
35-44,0,College or university dropout,48.0,44.0,55.0,46.0,37.0,1.86203,-0.52593,6,6,1
18-24,1,College or university dropout,25.0,41.0,46.0,46.0,54.0,-0.21712,-0.21575,6,4,3
25-34,1,College or university dropout,41.0,37.0,45.0,47.0,34.0,0.52975,0.40148,6,6,2
18-24,1,Left school at 18,31.0,42.0,47.0,38.0,37.0,0.88113,1.2247,6,5,0
45-54,0,University degree,37.0,33.0,39.0,48.0,40.0,-1.37983,1.2247,6,4,0
25-34,1,College or university dropout,41.0,32.0,43.0,49.0,42.0,-0.21712,0.07987000000000001,6,2,2
18-24,0,University degree,54.0,29.0,55.0,31.0,45.0,0.52975,0.07987000000000001,6,2,0
25-34,1,College or university dropout,33.0,41.0,44.0,40.0,35.0,1.29221,0.7654,6,3,3
18-24,1,Left school at 17,32.0,45.0,51.0,47.0,35.0,1.86203,1.2247,6,6,0
18-24,0,College or university dropout,46.0,45.0,53.0,36.0,38.0,0.88113,1.2247,6,3,4
18-24,1,University degree,40.0,26.0,39.0,48.0,30.0,-1.37983,-0.8463700000000001,6,3,3
18-24,1,Professional certificate/ diploma,21.0,34.0,37.0,54.0,41.0,-0.21712,-0.8463700000000001,4,4,0
18-24,1,Left school at 18,21.0,45.0,53.0,37.0,39.0,-0.71126,0.07987000000000001,3,4,0
45-54,0,University degree,48.0,51.0,52.0,30.0,29.0,0.88113,1.2247,6,3,3
18-24,1,College or university dropout,47.0,35.0,46.0,34.0,35.0,1.29221,1.2247,6,5,0
25-34,1,University degree,41.0,36.0,51.0,32.0,45.0,-0.21712,0.40148,6,2,3
18-24,1,College or university dropout,29.0,40.0,43.0,37.0,44.0,0.52975,1.92173,6,6,0
18-24,1,College or university dropout,57.0,42.0,48.0,37.0,34.0,1.86203,1.2247,5,5,3
18-24,0,College or university dropout,37.0,33.0,46.0,46.0,47.0,-0.21712,-0.52593,1,5,0
